playerid,birthDate
13770,1991-03-26
13774,1994-04-08
13781,1991-01-12
13788,1990-12-03
13799,1991-11-12
13801,1991-05-05
13807,1991-02-26
13834,1991-11-30
13836,1991-01-15
13853,1990-04-26
13854,1990-01-18
13892,1990-05-26
13896,1994-07-01
13897,1991-06-19
13932,1991-05-16
13942,1989-08-29
14078,1991-07-01
14099,1991-12-30
14107,1991-01-06
14109,1994-04-16
14111,1992-12-18
14120,1993-10-02
14128,1993-11-19
14130,1992-12-17
14137,1994-06-24
14145,1994-03-22
14161,1993-12-18
14162,1994-09-22
14168,1994-05-27
14196,1994-07-14
14212,1994-04-07
14221,1992-02-25
14225,1990-12-07
14274,1990-12-23
14288,1990-11-13
14295,1991-07-27
14309,1993-03-21
14332,1994-04-07
14344,1994-03-29
14361,1990-10-20
14366,1992-05-06
14374,1993-08-23
14375,1992-05-03
14387,1994-09-06
14388,1994-10-20
14391,1995-01-17
14412,1991-05-21
14416,1995-02-02
14420,1994-05-11
14444,1987-03-25
14446,1982-07-31
14467,1992-11-09
14477,1992-12-04
14506,1993-03-24
14509,1992-06-05
14510,1993-01-07
14524,1993-12-19
14527,1993-02-10
14542,1992-12-28
14551,1994-10-19
14552,1994-10-21
14566,1995-07-07
14593,1993-04-07
14646,1992-11-09
14655,1991-12-03
14663,1992-01-15
14665,1992-10-12
14677,1994-07-20
14681,1993-04-22
14682,1993-05-09
14691,1993-11-30
14696,1993-04-16
14706,1993-08-10
14710,1994-03-22
14712,1994-09-28
14719,1993-03-31
14735,1994-05-30
14739,1993-12-04
14764,1992-09-06
14765,1996-08-12
14771,1991-05-07
14773,1995-08-18
14811,1991-02-13
14813,1990-08-17
14814,1991-02-20
14825,1991-08-14
14843,1992-01-04
14844,1990-07-04
14854,1990-08-23
14857,1991-03-01
14862,1990-04-21
14874,1992-01-03
14875,1991-07-28
14885,1992-09-09
14894,1991-10-31
14899,1991-07-21
14916,1991-11-05
14932,1992-03-05
14938,1992-07-19
14942,1991-11-09
14966,1993-01-06
14968,1993-08-17
14975,1992-09-10
14986,1991-08-14
14993,1992-12-18
15007,1993-06-27
15009,1991-09-04
15010,1991-11-26
15036,1993-12-29
15038,1995-02-22
15042,1992-01-15
15043,1991-10-01
15046,1992-08-26
15047,1992-06-26
15051,1992-07-17
15055,1995-01-17
15068,1994-06-04
15071,1991-11-27
15082,1991-12-09
15094,1992-03-26
15100,1991-08-05
15101,1991-06-07
15104,1992-05-12
15106,1994-05-30
15112,1994-12-14
15117,1991-08-22
15124,1992-07-14
15126,1994-09-12
15130,1994-03-22
15139,1992-07-23
15145,1991-03-07
15149,1992-03-18
15157,1992-03-21
15161,1991-01-15
15170,1995-03-10
15172,1993-06-23
15189,1994-09-10
15191,1992-03-29
15194,1995-10-06
15214,1992-01-29
15223,1991-12-14
15239,1990-08-22
15256,1990-03-12
15264,1993-09-12
15271,1990-12-10
15274,1990-12-03
15279,1990-12-25
15288,1990-08-15
15290,1989-08-31
15362,1992-04-08
15369,1991-04-03
15423,1991-06-05
15429,1992-01-04
15440,1991-02-02
15444,1992-06-16
15451,1991-12-06
15454,1993-02-14
15463,1992-08-07
15464,1992-01-28
15467,1992-02-16
15474,1994-07-14
15487,1994-10-05
15488,1995-01-21
15491,1995-01-11
15492,1994-07-08
15504,1995-06-18
15507,1994-12-09
15514,1990-12-21
15518,1995-11-20
15519,1996-02-27
15541,1990-12-17
15551,1991-03-13
15552,1991-05-24
15585,1992-07-04
15594,1991-05-29
15605,1991-11-16
15640,1992-04-26
15653,1995-06-15
15654,1994-08-23
15655,1993-11-28
15674,1995-03-02
15676,1987-01-29
15679,1995-03-16
15684,1994-12-24
15688,1995-05-03
15689,1992-12-12
15690,1991-10-19
15697,1994-10-08
15711,1995-06-22
15730,1994-11-23
15734,1995-07-27
15761,1995-01-17
15764,1988-11-01
15792,1994-09-02
1581,1986-09-26
15816,1994-09-21
15817,1994-11-09
15823,1995-10-05
15832,1992-07-26
15846,1991-10-03
15849,1992-06-04
15855,1991-09-15
15873,1992-02-01
15878,1995-03-02
15885,1994-12-24
15890,1994-02-20
15905,1996-05-02
15915,1995-02-07
15937,1990-08-01
15941,1989-12-28
15947,1991-07-26
15949,1992-05-29
15968,1990-12-27
15983,1994-09-06
15986,1995-09-02
15994,1995-04-17
15998,1995-07-13
16017,1987-04-04
16061,1992-05-04
16074,1993-01-19
16094,1993-10-23
16106,1992-10-01
16110,1992-01-16
16122,1993-04-21
16125,1992-09-22
16128,1993-04-05
16135,1992-12-13
16137,1992-12-10
16149,1993-06-04
16153,1992-12-13
16162,1993-02-10
16201,1992-09-28
16207,1992-09-18
16209,1992-09-29
16219,1993-04-27
16221,1992-11-27
16233,1993-12-05
16252,1993-06-30
16256,1993-05-14
16258,1993-09-21
16269,1993-04-24
16279,1993-06-21
16285,1995-01-17
16300,1995-04-30
16306,1993-05-13
16318,1994-01-20
16337,1995-10-24
16350,1994-03-31
16357,1993-09-05
16358,1994-09-29
16375,1994-12-16
16376,1993-03-01
16390,1991-10-14
16398,1994-12-29
16400,1994-01-04
16401,1993-12-26
16403,1995-10-27
16408,1995-11-16
16417,1996-07-10
16418,1995-08-17
16426,1996-02-22
16427,1996-04-10
16429,1995-09-05
16432,1995-07-27
16434,1995-05-30
16440,1993-12-24
16442,1993-07-26
16448,1995-04-03
16451,1994-09-27
16455,1995-04-04
16459,1992-01-09
16466,1995-03-31
16470,1995-05-26
16472,1993-03-17
16478,1993-03-05
16496,1995-11-20
16502,1991-12-31
16505,1993-04-28
16507,1992-09-08
16511,1992-12-27
16512,1995-03-23
16524,1992-04-09
16530,1994-07-19
16535,1995-04-15
16537,1990-09-02
16556,1997-01-07
16561,1993-11-23
16572,1992-08-16
16578,1991-08-08
16587,1993-09-04
16588,1993-06-09
16593,1996-07-15
16609,1997-04-22
16610,1993-02-07
16622,1997-06-03
16623,1993-03-15
16631,1992-02-16
16647,1992-06-26
16680,1993-07-15
16686,1993-09-06
16703,1991-10-14
16725,1992-11-28
16727,1991-10-03
16754,1990-11-11
16814,1990-02-10
16835,1992-01-15
16866,1993-01-02
16873,1993-03-27
16904,1989-05-24
16909,1992-10-01
16918,1993-08-21
16925,1993-01-12
16929,1996-06-20
16930,1995-06-27
16933,1995-05-03
16939,1995-08-23
16942,1995-09-22
16943,1993-06-12
16944,1996-03-22
16947,1995-12-30
16953,1995-03-21
16958,1993-05-16
16977,1992-04-25
16980,1993-02-19
16981,1993-05-23
16990,1991-10-24
16997,1996-12-13
17022,1996-03-06
17027,1996-05-15
17030,1996-01-30
17034,1995-08-30
17040,1997-02-24
17085,1996-03-07
17092,1994-03-06
17117,1993-02-03
17128,1994-07-15
17130,1990-01-04
17149,1992-08-04
17161,1991-11-04
17169,1996-01-10
17170,1995-04-12
17179,1992-06-29
17181,1993-01-02
17186,1992-07-18
17192,1993-07-10
17216,1995-08-10
17232,1995-05-27
17237,1992-06-19
17264,1992-09-22
17273,1995-06-23
17276,1995-12-25
17277,1995-08-26
17281,1994-04-28
17282,1996-04-30
17285,1996-05-13
17292,1995-09-25
17295,1993-11-19
17304,1994-07-15
17312,1995-07-11
17321,1995-08-11
17326,1996-07-03
17338,1997-04-24
17350,1996-10-24
17359,1993-03-02
17369,1995-04-28
17381,1993-02-11
17425,1993-02-25
17432,1993-01-08
1744,1983-04-18
17452,1995-07-22
17464,1996-07-06
17473,1995-07-12
17479,1995-10-15
17480,1996-12-04
17484,1996-11-27
17485,1995-09-26
17489,1992-08-27
17490,1996-10-10
17496,1994-01-18
17505,1996-01-28
17536,1994-05-28
17548,1993-12-14
17556,1993-09-09
17578,1993-11-17
17581,1997-04-11
17586,1994-07-22
17594,1996-04-04
17606,1997-03-26
17610,1992-12-25
17611,1993-05-13
17620,1994-10-17
17639,1994-11-25
17677,1992-09-20
17678,1994-03-30
17682,1994-04-06
17684,1993-09-25
17696,1993-08-04
17701,1994-06-28
17710,1993-04-28
17719,1993-11-04
17722,1993-12-05
17723,1994-01-15
17732,1994-12-25
17734,1994-09-11
17735,1994-07-14
17736,1994-12-22
17755,1993-09-24
17759,1994-05-07
17766,1993-11-30
17780,1995-05-21
17783,1994-09-14
17792,1994-07-08
17793,1994-04-15
17796,1994-05-01
17811,1993-04-15
17821,1996-06-29
17837,1996-01-03
17838,1994-11-04
17859,1995-03-01
17860,1995-08-29
17871,1993-11-19
17874,1994-12-10
17877,1994-08-04
17878,1996-04-12
17888,1993-06-18
17893,1997-05-29
17897,1994-04-23
17901,1994-07-06
17907,1996-08-09
17910,1996-08-15
17919,1994-08-12
17920,1994-04-25
17922,1996-05-27
17929,1994-10-01
17932,1994-06-01
17948,1993-09-30
17952,1994-04-19
17954,1994-02-21
17964,1993-12-22
17968,1996-08-04
17969,1997-04-18
17975,1994-04-29
17982,1994-07-13
17988,1996-08-16
17992,1994-05-31
17995,1996-11-18
17998,1993-12-16
18000,1997-08-02
18015,1993-08-02
18027,1996-04-07
18030,1994-06-03
18032,1994-08-02
18036,1994-01-21
18042,1992-08-02
18054,1994-05-26
18063,1992-01-26
18064,1993-03-25
18067,1993-05-26
18083,1994-01-16
18088,1994-06-04
18105,1994-05-04
18123,1994-07-12
18126,1994-01-01
18135,1994-08-10
18138,1994-07-18
18152,1994-11-01
18171,1992-07-13
18186,1993-02-08
18206,1993-07-27
18217,1994-02-22
18251,1993-03-23
18282,1993-01-18
18288,1993-10-14
18289,1993-05-19
18297,1991-01-31
18300,1992-09-11
18311,1993-12-13
18314,1994-02-11
18316,1994-04-21
18318,1993-11-05
18323,1993-12-17
18325,1994-08-30
18331,1994-03-02
18332,1993-11-01
18333,1993-09-09
18335,1993-12-21
18337,1990-07-05
18341,1995-12-05
18345,1997-01-17
18347,1994-06-03
18353,1997-01-15
18356,1996-07-18
18360,1997-04-02
18363,1997-05-19
18373,1997-02-18
18376,1993-07-24
18383,1997-08-04
18384,1993-12-28
18395,1996-08-03
18400,1998-02-19
18401,1997-12-18
18403,1995-12-25
18413,1995-05-01
18421,1993-05-05
18433,1993-05-10
18439,1994-05-27
18454,1992-10-20
18475,1994-10-04
18482,1994-02-04
18496,1997-03-02
18497,1986-07-10
18498,1988-04-11
18510,1994-07-10
18519,1995-07-10
18525,1995-12-28
18548,1996-07-18
18551,1997-01-20
18554,1996-12-10
18555,1997-05-23
18564,1996-11-01
18568,1997-04-09
18577,1997-01-28
18587,1997-07-28
18592,1996-06-06
18593,1998-03-09
18600,1994-06-29
18607,1993-07-30
18615,1993-06-23
18655,1993-09-02
18674,1996-10-28
18679,1996-06-04
18684,1995-09-07
18694,1997-08-13
18699,1996-11-20
18718,1988-01-12
18719,1982-07-15
18721,1991-01-31
18769,1994-07-30
18790,1992-08-31
18792,1992-10-14
18795,1994-06-03
18806,1991-01-10
18815,1994-11-28
18819,1993-04-03
18821,1996-05-11
18839,1997-06-22
18848,1997-06-14
18864,1997-01-14
18872,1997-08-04
18873,1996-09-18
18882,1994-07-06
18887,1993-08-28
18889,1993-09-28
18890,1993-04-28
18899,1997-07-02
1890,1989-06-18
18900,1998-09-08
18905,1996-10-07
19151,1997-11-25
19159,1995-03-09
19178,1991-03-19
19179,1994-10-07
19181,1995-02-06
19191,1995-07-03
19197,1995-03-28
19198,1984-06-09
19199,1995-05-29
19200,1995-11-09
19205,1994-04-06
19206,1994-09-15
19212,1994-07-20
19222,1995-06-03
19225,1994-12-28
19231,1994-04-09
19238,1993-10-10
19243,1993-07-26
19244,1994-01-31
19245,1994-12-29
19249,1994-11-25
19251,1994-12-07
19252,1995-04-11
19260,1995-05-25
19261,1995-06-16
19262,1994-10-10
19264,1994-09-29
19266,1994-10-24
19268,1995-09-22
19269,1995-08-01
19273,1995-11-22
19274,1993-08-15
19278,1995-09-18
19281,1994-12-30
19285,1993-02-03
19287,1993-03-02
19290,1995-02-28
19291,1995-08-03
19292,1994-07-14
19293,1995-06-29
19294,1995-01-11
19296,1994-09-27
19309,1993-05-15
19312,1995-02-10
19314,1994-05-25
19315,1994-10-21
19316,1995-06-03
19318,1995-05-06
19320,1993-06-06
19326,1995-01-27
19330,1993-03-11
19331,1993-02-24
19337,1995-07-07
19339,1995-03-13
19343,1995-04-25
19345,1995-08-02
19346,1994-06-26
19349,1996-07-02
19350,1996-01-07
19352,1994-10-04
19354,1994-09-19
19358,1994-09-11
19360,1995-05-01
19361,1994-10-22
19362,1995-04-01
19363,1995-07-05
19369,1987-07-28
19374,1994-07-28
19384,1995-07-03
19388,1994-05-14
19392,1995-04-29
19403,1994-01-17
19407,1993-08-31
19409,1994-12-20
19422,1995-05-05
19427,1995-05-31
1943,1983-10-21
19432,1998-05-04
19444,1995-05-06
19447,1996-10-18
19452,1995-04-18
19453,1994-10-29
19454,1994-04-27
19455,1997-05-30
19456,1994-03-16
19457,1995-04-19
19458,1994-11-28
19459,1995-07-28
19470,1995-05-09
19477,1994-08-19
19479,1995-06-12
19481,1993-10-05
19482,1993-09-14
19487,1995-09-07
19493,1994-12-25
19508,1995-07-13
19514,1995-02-03
19518,1994-11-30
19522,1995-08-14
19524,1997-08-21
19529,1993-12-05
19531,1995-11-01
19533,1993-12-06
19535,1994-12-16
19541,1994-11-18
19545,1995-01-11
19546,1994-07-11
19548,1994-07-12
19552,1994-07-01
19553,1998-12-27
19556,1997-06-27
19558,1993-12-09
19562,1995-05-29
19563,1995-03-24
19566,1995-07-07
19569,1994-10-10
19574,1996-09-09
19580,1994-03-15
19583,1994-03-15
19586,1997-09-15
19588,1998-10-10
19599,1995-04-19
19600,1996-12-16
19608,1998-10-01
19610,1998-07-20
19611,1999-03-16
19612,1998-03-05
19614,1996-04-21
19618,1996-09-06
19625,1994-12-15
19627,1994-11-01
19635,1994-12-10
19643,1995-07-11
19644,1994-08-09
19646,1992-11-23
19647,1995-01-27
19665,1995-10-02
19666,1993-03-01
19667,1993-11-12
19671,1995-05-30
19675,1993-09-17
19677,1995-02-11
19680,1998-07-29
19683,1994-03-15
19686,1994-08-09
19695,1996-01-24
19698,1996-03-06
19703,1994-03-08
19705,1993-09-25
19709,1999-01-02
19712,1995-06-10
19716,1997-09-06
19717,1995-07-25
19722,1998-11-26
19727,1995-09-20
19731,1995-02-21
19734,1994-06-30
19736,1993-10-01
19742,1995-02-03
19753,1994-11-02
19754,1996-04-15
19755,1994-07-05
19766,1996-05-20
19768,1996-04-22
19769,1995-06-06
19779,1993-04-26
19784,1994-03-20
19785,1993-11-28
19788,1994-02-21
19789,1995-04-13
19795,1995-03-13
19800,1994-09-09
19802,1996-04-18
19804,1994-12-02
19805,1994-09-17
19806,1995-03-07
19813,1996-06-03
19818,1995-07-30
19820,1995-02-21
19824,1994-12-14
19828,1994-10-08
19835,1995-08-19
19842,1995-02-05
19844,1996-12-20
19848,1996-12-17
19853,1995-05-25
19858,1997-02-26
19859,1996-11-02
19864,1996-06-26
19865,1995-10-01
19866,1996-04-02
19867,1996-05-11
19868,1995-09-08
19871,1996-03-25
19872,1995-05-31
19873,1995-12-01
19874,1995-11-12
19876,1994-03-24
19877,1996-03-22
19878,1996-04-12
19879,1996-06-29
19881,1995-05-16
19883,1995-10-02
19884,1995-12-28
19890,1996-06-29
19891,1995-05-11
19892,1996-02-06
19896,1996-05-19
19899,1996-02-20
19901,1996-04-23
19903,1996-12-18
19906,1997-10-28
19910,1998-03-06
19911,1998-01-03
19913,1997-10-07
19918,1996-07-02
19921,1996-09-10
19924,1997-05-08
19926,1997-04-15
19928,1997-02-14
19931,1996-08-09
19932,1995-11-25
19938,1996-09-02
1994,1987-01-12
19940,1995-01-17
19948,1998-11-19
19950,1998-09-04
19951,1998-05-02
19952,1998-06-26
19953,1998-02-02
19955,1997-11-23
19956,1998-05-13
19958,1997-09-03
19959,1997-09-30
19960,1997-09-13
19962,1997-10-06
19964,1999-08-25
19966,1995-06-29
19968,1995-11-27
19976,1995-07-29
19977,1994-09-15
19979,1995-01-21
19981,1995-06-12
19983,1997-05-19
19990,1997-12-20
19995,1995-02-19
19996,1994-08-01
19997,1994-11-13
20000,1994-08-26
20002,1995-10-27
20003,1996-08-02
20009,1995-07-09
20010,1995-01-25
20017,1995-10-31
20018,1995-02-12
20020,1994-03-05
20022,1994-09-20
20023,1994-01-10
20030,1994-07-16
20036,1999-02-18
20038,1996-03-18
20039,1999-02-27
20040,1996-12-31
20041,1996-08-23
20042,1995-04-15
20043,1997-08-03
20045,1995-12-29
20047,1995-08-20
20054,1996-02-29
20056,1996-05-30
20060,1995-02-08
20061,1992-02-05
20070,1997-04-24
20074,1993-12-31
20078,1996-04-26
20080,1996-04-17
20084,1995-04-24
20099,1996-01-08
20100,1996-01-21
20116,1995-09-22
20122,1995-01-24
20123,1998-10-25
20126,1998-10-23
20132,1994-10-17
20151,1995-09-22
20153,1995-12-05
20157,1995-06-22
20160,1996-08-20
20167,1997-10-07
20175,1994-04-28
20177,1996-07-04
20178,1999-11-17
20185,1996-09-20
20190,1995-06-08
20191,1996-06-11
20198,1994-10-21
20202,1997-12-18
20203,1996-05-13
20205,1995-11-20
20206,1995-09-10
20209,1995-02-27
20220,1999-04-08
20227,1995-07-20
20231,1996-04-23
20233,1999-02-13
20237,1996-05-12
20242,1996-07-04
20253,1994-11-22
20257,1995-11-05
20271,1996-09-15
20276,1999-05-19
20277,1995-09-20
20287,1997-09-25
20298,1996-09-13
20302,1995-09-03
20308,1996-06-18
20311,1996-02-27
20321,1996-03-17
20323,1996-05-19
20333,1995-12-12
20339,1994-02-27
20348,1995-02-06
20349,1995-03-03
20352,1996-03-22
20353,1994-08-24
2036,1988-03-19
20367,1998-08-26
20369,1998-01-28
20370,1995-02-09
20373,1999-01-16
20375,1995-02-04
20379,1995-06-16
20383,1996-10-06
20385,1995-07-14
20387,1995-03-21
20391,2000-05-16
20395,1996-06-18
20404,1995-07-09
20408,1997-06-26
20418,1996-05-18
20422,1997-04-24
20423,1995-11-26
20430,1997-12-19
20437,1999-06-05
20447,1995-09-28
20450,1996-02-09
20454,1998-02-01
20462,1995-04-27
20468,1998-05-28
20476,1996-08-16
20491,1996-10-11
20492,1997-05-01
20493,1996-09-18
20494,1994-11-01
20501,1996-03-25
20503,1997-12-24
20505,1998-12-30
20510,1995-01-13
20515,1996-07-08
20517,1997-01-10
20521,1997-03-05
20526,1996-11-02
20529,1998-05-07
20531,1996-04-01
20536,1998-02-09
20538,1998-06-29
20539,1998-01-09
20540,1999-12-07
20541,1995-06-05
20543,1998-08-17
20546,1997-06-21
20548,1996-04-22
20555,1995-10-12
20557,1996-07-17
20565,1996-06-03
20572,1996-05-15
20589,1997-05-03
20599,2000-06-01
20617,1996-08-26
20626,1995-07-12
20629,1997-10-27
20631,1996-06-13
20633,1991-06-17
20638,1995-03-10
20643,1994-08-25
20666,1995-06-20
20739,1997-03-03
20778,1996-12-12
20794,1996-08-06
20802,1996-12-21
20827,1994-05-16
20926,1998-01-07
20958,1998-02-19
20962,1998-03-31
20970,1998-01-10
20997,1995-09-01
21009,1997-10-10
21018,1997-07-20
21023,1996-12-10
21025,1996-10-02
21029,1998-01-08
21032,1998-03-18
21045,1994-08-29
21052,1998-06-03
21065,1996-06-12
21078,1997-05-03
21092,1996-01-30
21093,1995-10-10
21101,1996-04-15
21111,1998-05-01
21127,1996-05-05
21131,1997-02-22
21132,1996-09-28
21139,1992-10-25
21163,1997-08-30
21170,1993-12-23
21183,1998-04-03
21189,1994-02-03
21197,1993-03-19
21205,1995-01-29
21212,1995-04-04
21224,1995-07-12
21229,1994-08-30
21238,1995-08-10
21241,1995-10-16
21267,1995-12-04
21270,1996-05-16
21281,1996-05-01
21290,1996-03-05
21293,1995-12-23
21298,1996-05-01
21304,1995-09-04
21306,1996-04-08
21310,1995-08-14
21318,1995-07-28
21319,1996-04-23
21324,1995-11-22
21327,1996-12-24
21345,1995-04-06
2136,1987-08-14
21366,1996-03-11
21367,1994-10-24
21386,1996-02-26
21390,1996-06-05
21420,1997-12-12
21446,1996-09-02
21448,1997-01-04
21453,1997-09-12
21454,1997-09-08
21455,1997-08-19
21461,1997-07-17
21464,1997-07-02
21479,1997-05-13
21481,1997-05-07
21483,1997-04-28
21487,1997-04-18
21489,1997-04-03
21496,1997-03-14
21497,1997-03-10
21501,1997-02-26
21504,1997-02-18
21513,1997-01-16
21520,1996-12-26
21523,1996-12-15
21524,1996-12-15
21527,1996-12-11
21534,1996-11-26
21535,1996-11-20
21537,1996-11-17
21538,1996-11-11
21541,1996-11-03
21544,1996-10-24
21546,1996-10-07
21547,1996-10-07
21549,1996-10-04
21558,1996-09-16
21562,1996-09-06
21573,1996-08-18
21574,1996-08-11
21584,1996-06-24
21587,1996-03-15
21614,1997-03-03
21618,1996-08-03
21620,1994-07-14
21622,1997-07-30
21623,1996-12-12
21626,1997-07-11
21634,1996-12-04
21635,1997-02-18
21636,1997-09-22
21646,1999-02-25
21649,1999-05-03
21652,1997-03-20
21656,1999-02-07
21662,1999-02-23
21682,1998-06-09
21690,1998-04-13
21693,1999-03-09
21707,1999-03-01
21711,1998-10-04
21716,1998-12-28
21728,1999-05-15
21730,1999-07-01
21735,1998-11-16
21741,1997-07-30
21746,1999-03-29
21761,1996-06-14
21780,1999-02-15
21797,1999-05-04
21837,1998-05-23
21840,1995-05-16
21842,1997-06-30
21844,1997-08-05
21846,1997-12-12
21850,1998-02-20
21853,1998-06-16
21858,1997-11-06
21859,1998-03-04
21863,1999-03-24
21865,2000-02-21
21866,1998-09-17
21871,1997-10-22
21894,1999-08-28
21896,1999-01-30
21897,1999-06-24
21922,1999-08-14
21924,1999-03-19
21951,1997-05-05
21955,1997-10-15
21956,1999-05-04
21987,1999-05-21
21992,1997-07-04
21997,1998-05-23
22045,1997-02-05
22051,1994-09-14
22052,1996-02-25
22054,1996-03-08
22092,1996-12-27
22093,1996-07-30
22100,1998-10-20
22113,1999-11-25
22116,1998-09-30
22117,1998-10-06
22164,1997-06-24
22165,1999-02-18
22168,1998-08-16
22175,1997-07-21
22176,1997-12-26
22182,1999-08-06
22184,1999-12-11
22186,1999-11-21
22187,1996-03-28
22191,1998-08-05
22192,1998-09-15
22197,1998-11-29
22200,1997-07-11
22201,1999-02-24
